"resp","rt"
1,0.136
1,0.196
1,0.2
1,0.21
1,0.21
1,0.212
1,0.218
1,0.219
1,0.22
1,0.221
1,0.222
1,0.223
1,0.229
1,0.231
1,0.231
1,0.231
1,0.231
1,0.232
1,0.233
1,0.234
1,0.234
1,0.236
1,0.236
1,0.237
1,0.238
1,0.239
1,0.239
1,0.242
1,0.242
1,0.245
1,0.245
1,0.245
1,0.245
1,0.247
1,0.247
1,0.249
1,0.249
1,0.25
1,0.251
1,0.251
1,0.253
1,0.253
1,0.254
1,0.256
1,0.256
1,0.256
1,0.257
1,0.257
1,0.258
1,0.258
1,0.259
1,0.259
1,0.259
1,0.259
1,0.259
1,0.261
1,0.261
1,0.262
1,0.262
1,0.262
1,0.263
1,0.264
1,0.264
1,0.264
1,0.265
1,0.267
1,0.267
1,0.268
1,0.268
1,0.27
1,0.271
1,0.271
1,0.273
1,0.273
1,0.275
1,0.275
1,0.275
1,0.275
1,0.277
1,0.277
1,0.278
1,0.279
1,0.28
1,0.28
1,0.28
1,0.281
1,0.282
1,0.282
1,0.282
1,0.283
1,0.283
1,0.284
1,0.285
1,0.285
1,0.285
1,0.286
1,0.289
1,0.29
1,0.294
1,0.294
1,0.295
1,0.296
1,0.297
1,0.298
1,0.298
1,0.299
1,0.299
1,0.301
1,0.301
1,0.302
1,0.302
1,0.302
1,0.303
1,0.304
1,0.304
1,0.305
1,0.307
1,0.307
1,0.308
1,0.31
1,0.313
1,0.314
1,0.315
1,0.315
1,0.317
1,0.318
1,0.32
1,0.32
1,0.321
1,0.321
1,0.323
1,0.323
1,0.323
1,0.324
1,0.326
1,0.327
1,0.332
1,0.333
1,0.333
1,0.334
1,0.334
1,0.335
1,0.336
1,0.337
1,0.338
1,0.339
1,0.34
1,0.341
1,0.341
1,0.342
1,0.344
1,0.345
1,0.345
1,0.346
1,0.347
1,0.348
1,0.351
1,0.351
1,0.354
1,0.357
1,0.357
1,0.359
1,0.362
1,0.364
1,0.365
1,0.365
1,0.366
1,0.367
1,0.371
1,0.376
1,0.379
1,0.381
1,0.382
1,0.385
1,0.392
1,0.393
1,0.394
1,0.395
1,0.401
1,0.407
1,0.408
1,0.408
1,0.419
1,0.43
1,0.433
1,0.436
1,0.459
1,0.465
1,0.469
1,0.488
1,0.496
1,0.501
1,0.516
1,0.548
1,0.556
