"resp","rt"
1,0.104
1,0.106
1,0.143
1,0.163
1,0.195
1,0.208
1,0.216
1,0.22
1,0.221
1,0.221
1,0.224
1,0.224
1,0.226
1,0.227
1,0.229
1,0.23
1,0.23
1,0.23
1,0.232
1,0.235
1,0.236
1,0.237
1,0.24
1,0.24
1,0.244
1,0.244
1,0.245
1,0.245
1,0.246
1,0.246
1,0.247
1,0.248
1,0.248
1,0.25
1,0.251
1,0.251
1,0.253
1,0.253
1,0.255
1,0.255
1,0.255
1,0.256
1,0.256
1,0.257
1,0.258
1,0.258
1,0.26
1,0.26
1,0.261
1,0.262
1,0.262
1,0.264
1,0.265
1,0.266
1,0.266
1,0.266
1,0.268
1,0.268
1,0.268
1,0.269
1,0.269
1,0.27
1,0.271
1,0.272
1,0.272
1,0.273
1,0.273
1,0.275
1,0.275
1,0.276
1,0.276
1,0.277
1,0.279
1,0.279
1,0.279
1,0.279
1,0.279
1,0.28
1,0.282
1,0.284
1,0.286
1,0.287
1,0.288
1,0.288
1,0.288
1,0.288
1,0.289
1,0.289
1,0.29
1,0.29
1,0.291
1,0.292
1,0.293
1,0.293
1,0.295
1,0.295
1,0.295
1,0.296
1,0.296
1,0.297
1,0.298
1,0.298
1,0.298
1,0.299
1,0.299
1,0.299
1,0.3
1,0.3
1,0.301
1,0.301
1,0.301
1,0.301
1,0.301
1,0.302
1,0.302
1,0.302
1,0.302
1,0.302
1,0.302
1,0.303
1,0.303
1,0.303
1,0.305
1,0.305
1,0.305
1,0.305
1,0.306
1,0.306
1,0.306
1,0.307
1,0.308
1,0.308
1,0.309
1,0.309
1,0.31
1,0.31
1,0.312
1,0.314
1,0.316
1,0.317
1,0.318
1,0.318
1,0.318
1,0.319
1,0.319
1,0.321
1,0.321
1,0.322
1,0.322
1,0.323
1,0.323
1,0.324
1,0.324
1,0.325
1,0.325
1,0.329
1,0.329
1,0.329
1,0.33
1,0.331
1,0.334
1,0.334
1,0.334
1,0.337
1,0.337
1,0.338
1,0.342
1,0.342
1,0.343
1,0.344
1,0.345
1,0.355
1,0.357
1,0.362
1,0.364
1,0.373
1,0.373
1,0.374
1,0.382
1,0.384
1,0.391
1,0.394
1,0.4
1,0.406
1,0.408
1,0.41
1,0.425
1,0.432
1,0.432
1,0.436
1,0.437
1,0.437
1,0.444
1,0.454
1,0.454
1,0.499
