"resp","rt"
1,0.329
1,0.343
1,0.351
1,0.352
1,0.352
1,0.356
1,0.357
1,0.36
1,0.362
1,0.364
1,0.366
1,0.366
1,0.369
1,0.37
1,0.371
1,0.372
1,0.374
1,0.375
1,0.376
1,0.376
1,0.377
1,0.377
1,0.379
1,0.382
1,0.382
1,0.383
1,0.383
1,0.383
1,0.384
1,0.385
1,0.385
1,0.387
1,0.391
1,0.393
1,0.393
1,0.394
1,0.396
1,0.396
1,0.396
1,0.397
1,0.397
1,0.399
1,0.4
1,0.401
1,0.402
1,0.403
1,0.406
1,0.408
1,0.408
1,0.41
1,0.41
1,0.412
1,0.412
1,0.412
1,0.413
1,0.413
1,0.415
1,0.416
1,0.418
1,0.419
1,0.419
1,0.419
1,0.419
1,0.42
1,0.421
1,0.422
1,0.424
1,0.424
1,0.424
1,0.424
1,0.425
1,0.427
1,0.428
1,0.428
1,0.428
1,0.429
1,0.43
1,0.43
1,0.431
1,0.433
1,0.433
1,0.433
1,0.434
1,0.435
1,0.435
1,0.436
1,0.436
1,0.436
1,0.438
1,0.438
1,0.439
1,0.439
1,0.44
1,0.441
1,0.443
1,0.444
1,0.444
1,0.445
1,0.445
1,0.445
1,0.446
1,0.446
1,0.449
1,0.45
1,0.453
1,0.453
1,0.453
1,0.454
1,0.454
1,0.454
1,0.455
1,0.456
1,0.458
1,0.46
1,0.462
1,0.462
1,0.464
1,0.466
1,0.467
1,0.468
1,0.468
1,0.471
1,0.472
1,0.473
1,0.474
1,0.474
1,0.474
1,0.475
1,0.475
1,0.475
1,0.476
1,0.476
1,0.476
1,0.478
1,0.482
1,0.482
1,0.483
1,0.484
1,0.485
1,0.485
1,0.486
1,0.486
1,0.486
1,0.487
1,0.49
1,0.49
1,0.492
1,0.495
1,0.495
1,0.496
1,0.496
1,0.497
1,0.498
1,0.499
1,0.501
1,0.501
1,0.502
1,0.504
1,0.504
1,0.504
1,0.505
1,0.505
1,0.506
1,0.507
1,0.508
1,0.51
1,0.51
1,0.512
1,0.514
1,0.515
1,0.515
1,0.516
1,0.517
1,0.518
1,0.519
1,0.521
1,0.522
1,0.522
1,0.524
1,0.524
1,0.528
1,0.529
1,0.53
1,0.531
1,0.531
1,0.538
1,0.541
1,0.547
1,0.56
1,0.56
1,0.567
1,0.571
1,0.574
1,0.578
1,0.579
1,0.596
1,0.596
1,0.597
