"resp","rt"
0,0.948
0,1.551
0,1.553
0,2.188
0,3.554
1,0.207
1,0.213
1,0.218
1,0.261
1,0.263
1,0.268
1,0.271
1,0.274
1,0.279
1,0.28
1,0.28
1,0.284
1,0.285
1,0.285
1,0.287
1,0.287
1,0.29
1,0.293
1,0.295
1,0.298
1,0.298
1,0.301
1,0.301
1,0.301
1,0.303
1,0.305
1,0.307
1,0.309
1,0.309
1,0.309
1,0.311
1,0.311
1,0.312
1,0.315
1,0.315
1,0.317
1,0.318
1,0.32
1,0.322
1,0.323
1,0.325
1,0.327
1,0.33
1,0.336
1,0.336
1,0.337
1,0.339
1,0.343
1,0.343
1,0.343
1,0.343
1,0.344
1,0.345
1,0.346
1,0.347
1,0.347
1,0.351
1,0.353
1,0.354
1,0.354
1,0.356
1,0.356
1,0.36
1,0.362
1,0.362
1,0.362
1,0.363
1,0.364
1,0.366
1,0.368
1,0.371
1,0.374
1,0.376
1,0.377
1,0.378
1,0.379
1,0.382
1,0.383
1,0.386
1,0.386
1,0.388
1,0.389
1,0.392
1,0.393
1,0.393
1,0.396
1,0.402
1,0.402
1,0.403
1,0.404
1,0.412
1,0.416
1,0.423
1,0.433
1,0.435
1,0.435
1,0.44
1,0.445
1,0.447
1,0.45
1,0.456
1,0.46
1,0.463
1,0.465
1,0.465
1,0.466
1,0.469
1,0.47
1,0.47
1,0.47
1,0.476
1,0.478
1,0.482
1,0.49
1,0.499
1,0.499
1,0.517
1,0.517
1,0.533
1,0.535
1,0.536
1,0.543
1,0.547
1,0.549
1,0.549
1,0.561
1,0.563
1,0.564
1,0.567
1,0.586
1,0.588
1,0.606
1,0.608
1,0.618
1,0.64
1,0.645
1,0.645
1,0.647
1,0.676
1,0.684
1,0.695
1,0.708
1,0.755
1,0.77
1,0.777
1,0.793
1,0.82
1,0.835
1,0.852
1,0.905
1,0.919
1,0.957
1,0.96
1,0.983
1,0.985
1,1.007
1,1.055
1,1.098
1,1.111
1,1.132
1,1.322
1,1.435
1,1.442
1,1.447
1,1.464
1,1.578
1,1.615
1,1.647
1,1.695
1,1.847
1,1.927
1,2.034
1,2.144
1,2.228
1,2.373
1,2.522
1,2.557
1,2.578
1,2.583
1,2.62
1,2.625
1,2.63
1,3.032
1,3.273
1,3.465
1,3.55
1,3.59
1,3.906
1,4.081
1,4.242
