"resp","rt"
1,0.224
1,0.229
1,0.235
1,0.235
1,0.236
1,0.237
1,0.239
1,0.244
1,0.244
1,0.247
1,0.247
1,0.248
1,0.248
1,0.249
1,0.251
1,0.252
1,0.252
1,0.255
1,0.256
1,0.257
1,0.257
1,0.261
1,0.261
1,0.262
1,0.263
1,0.263
1,0.265
1,0.265
1,0.266
1,0.268
1,0.269
1,0.269
1,0.27
1,0.271
1,0.271
1,0.271
1,0.274
1,0.274
1,0.276
1,0.281
1,0.281
1,0.282
1,0.283
1,0.283
1,0.284
1,0.285
1,0.286
1,0.29
1,0.29
1,0.292
1,0.293
1,0.294
1,0.295
1,0.297
1,0.297
1,0.298
1,0.298
1,0.299
1,0.299
1,0.302
1,0.303
1,0.304
1,0.304
1,0.307
1,0.308
1,0.309
1,0.312
1,0.316
1,0.318
1,0.318
1,0.319
1,0.32
1,0.321
1,0.321
1,0.325
1,0.326
1,0.327
1,0.33
1,0.331
1,0.333
1,0.334
1,0.334
1,0.335
1,0.336
1,0.338
1,0.341
1,0.342
1,0.342
1,0.346
1,0.347
1,0.348
1,0.35
1,0.351
1,0.352
1,0.352
1,0.355
1,0.357
1,0.358
1,0.358
1,0.359
1,0.362
1,0.362
1,0.363
1,0.364
1,0.366
1,0.367
1,0.368
1,0.37
1,0.371
1,0.372
1,0.375
1,0.377
1,0.378
1,0.382
1,0.382
1,0.382
1,0.385
1,0.388
1,0.389
1,0.389
1,0.391
1,0.392
1,0.395
1,0.396
1,0.396
1,0.398
1,0.399
1,0.4
1,0.404
1,0.405
1,0.406
1,0.408
1,0.409
1,0.41
1,0.412
1,0.414
1,0.416
1,0.417
1,0.417
1,0.419
1,0.42
1,0.423
1,0.425
1,0.427
1,0.429
1,0.432
1,0.433
1,0.435
1,0.443
1,0.443
1,0.443
1,0.451
1,0.453
1,0.456
1,0.458
1,0.458
1,0.459
1,0.459
1,0.461
1,0.462
1,0.463
1,0.466
1,0.467
1,0.469
1,0.471
1,0.477
1,0.477
1,0.48
1,0.481
1,0.482
1,0.484
1,0.484
1,0.485
1,0.487
1,0.501
1,0.509
1,0.51
1,0.514
1,0.515
1,0.518
1,0.519
1,0.522
1,0.523
1,0.526
1,0.527
1,0.53
1,0.534
1,0.549
1,0.559
1,0.563
1,0.576
1,0.582
1,0.584
1,0.588
1,0.59
1,0.615
1,0.678
1,0.685
1,0.703
