"resp","rt"
1,0.271
1,0.292
1,0.304
1,0.308
1,0.312
1,0.314
1,0.325
1,0.328
1,0.328
1,0.33
1,0.333
1,0.335
1,0.344
1,0.347
1,0.348
1,0.35
1,0.353
1,0.355
1,0.358
1,0.361
1,0.362
1,0.367
1,0.367
1,0.369
1,0.371
1,0.379
1,0.379
1,0.38
1,0.383
1,0.387
1,0.389
1,0.39
1,0.392
1,0.393
1,0.394
1,0.395
1,0.397
1,0.399
1,0.399
1,0.4
1,0.4
1,0.4
1,0.401
1,0.401
1,0.401
1,0.402
1,0.402
1,0.404
1,0.404
1,0.408
1,0.408
1,0.41
1,0.413
1,0.415
1,0.415
1,0.415
1,0.417
1,0.417
1,0.417
1,0.42
1,0.42
1,0.421
1,0.421
1,0.423
1,0.424
1,0.424
1,0.424
1,0.426
1,0.427
1,0.427
1,0.427
1,0.428
1,0.43
1,0.43
1,0.433
1,0.433
1,0.434
1,0.438
1,0.439
1,0.439
1,0.439
1,0.439
1,0.439
1,0.44
1,0.44
1,0.441
1,0.441
1,0.442
1,0.443
1,0.444
1,0.445
1,0.445
1,0.447
1,0.449
1,0.451
1,0.451
1,0.452
1,0.455
1,0.456
1,0.456
1,0.457
1,0.459
1,0.46
1,0.463
1,0.463
1,0.464
1,0.465
1,0.466
1,0.466
1,0.468
1,0.468
1,0.469
1,0.47
1,0.473
1,0.473
1,0.475
1,0.476
1,0.478
1,0.479
1,0.481
1,0.482
1,0.482
1,0.483
1,0.483
1,0.483
1,0.486
1,0.486
1,0.486
1,0.487
1,0.488
1,0.489
1,0.49
1,0.494
1,0.494
1,0.495
1,0.495
1,0.495
1,0.496
1,0.497
1,0.498
1,0.503
1,0.504
1,0.505
1,0.506
1,0.507
1,0.509
1,0.511
1,0.511
1,0.518
1,0.518
1,0.519
1,0.521
1,0.522
1,0.523
1,0.526
1,0.529
1,0.531
1,0.532
1,0.532
1,0.533
1,0.538
1,0.54
1,0.541
1,0.546
1,0.548
1,0.548
1,0.554
1,0.557
1,0.561
1,0.563
1,0.564
1,0.564
1,0.565
1,0.57
1,0.575
1,0.576
1,0.576
1,0.592
1,0.607
1,0.63
1,0.63
1,0.632
1,0.633
1,0.634
1,0.643
1,0.643
1,0.649
1,0.661
1,0.666
1,0.669
1,0.67
1,0.678
1,0.697
1,0.698
1,0.713
1,0.731
1,0.739
1,0.752
1,0.754
