"resp","rt"
1,0.284
1,0.287
1,0.292
1,0.292
1,0.3
1,0.301
1,0.302
1,0.302
1,0.307
1,0.311
1,0.311
1,0.319
1,0.322
1,0.323
1,0.323
1,0.324
1,0.33
1,0.331
1,0.335
1,0.339
1,0.34
1,0.345
1,0.346
1,0.349
1,0.349
1,0.35
1,0.35
1,0.353
1,0.354
1,0.354
1,0.355
1,0.359
1,0.359
1,0.361
1,0.361
1,0.362
1,0.363
1,0.365
1,0.366
1,0.367
1,0.369
1,0.369
1,0.371
1,0.372
1,0.373
1,0.373
1,0.375
1,0.376
1,0.381
1,0.386
1,0.386
1,0.387
1,0.388
1,0.391
1,0.391
1,0.392
1,0.394
1,0.395
1,0.397
1,0.399
1,0.4
1,0.401
1,0.402
1,0.402
1,0.403
1,0.404
1,0.405
1,0.406
1,0.406
1,0.406
1,0.409
1,0.413
1,0.414
1,0.414
1,0.417
1,0.417
1,0.419
1,0.42
1,0.42
1,0.428
1,0.43
1,0.43
1,0.431
1,0.434
1,0.435
1,0.435
1,0.438
1,0.439
1,0.441
1,0.441
1,0.443
1,0.444
1,0.444
1,0.446
1,0.446
1,0.447
1,0.448
1,0.449
1,0.452
1,0.454
1,0.459
1,0.459
1,0.459
1,0.46
1,0.46
1,0.465
1,0.466
1,0.467
1,0.468
1,0.47
1,0.471
1,0.473
1,0.476
1,0.476
1,0.476
1,0.477
1,0.477
1,0.477
1,0.48
1,0.481
1,0.482
1,0.483
1,0.487
1,0.492
1,0.493
1,0.494
1,0.497
1,0.5
1,0.506
1,0.506
1,0.509
1,0.513
1,0.518
1,0.518
1,0.52
1,0.52
1,0.522
1,0.522
1,0.524
1,0.528
1,0.529
1,0.531
1,0.535
1,0.542
1,0.542
1,0.544
1,0.545
1,0.55
1,0.553
1,0.554
1,0.556
1,0.56
1,0.562
1,0.566
1,0.566
1,0.568
1,0.578
1,0.582
1,0.584
1,0.588
1,0.594
1,0.598
1,0.601
1,0.605
1,0.609
1,0.612
1,0.627
1,0.631
1,0.637
1,0.646
1,0.658
1,0.663
1,0.668
1,0.676
1,0.677
1,0.686
1,0.688
1,0.693
1,0.703
1,0.704
1,0.71
1,0.712
1,0.715
1,0.724
1,0.734
1,0.74
1,0.758
1,0.761
1,0.778
1,0.79
1,0.803
1,0.819
1,0.899
1,0.907
1,0.962
