"resp","rt"
1,0.274
1,0.284
1,0.289
1,0.29
1,0.292
1,0.292
1,0.294
1,0.295
1,0.296
1,0.297
1,0.298
1,0.299
1,0.299
1,0.3
1,0.302
1,0.306
1,0.306
1,0.307
1,0.307
1,0.307
1,0.308
1,0.308
1,0.311
1,0.313
1,0.313
1,0.315
1,0.316
1,0.318
1,0.319
1,0.321
1,0.324
1,0.324
1,0.324
1,0.325
1,0.325
1,0.326
1,0.326
1,0.327
1,0.327
1,0.329
1,0.329
1,0.33
1,0.33
1,0.332
1,0.332
1,0.333
1,0.334
1,0.337
1,0.339
1,0.339
1,0.34
1,0.341
1,0.343
1,0.343
1,0.344
1,0.344
1,0.344
1,0.346
1,0.346
1,0.346
1,0.347
1,0.348
1,0.348
1,0.348
1,0.349
1,0.349
1,0.35
1,0.35
1,0.351
1,0.352
1,0.353
1,0.353
1,0.354
1,0.355
1,0.356
1,0.356
1,0.356
1,0.357
1,0.358
1,0.358
1,0.359
1,0.359
1,0.359
1,0.36
1,0.362
1,0.365
1,0.365
1,0.366
1,0.368
1,0.368
1,0.368
1,0.37
1,0.37
1,0.37
1,0.372
1,0.372
1,0.373
1,0.375
1,0.377
1,0.377
1,0.379
1,0.379
1,0.379
1,0.381
1,0.382
1,0.382
1,0.383
1,0.385
1,0.386
1,0.387
1,0.387
1,0.388
1,0.389
1,0.39
1,0.39
1,0.39
1,0.391
1,0.391
1,0.392
1,0.398
1,0.398
1,0.399
1,0.399
1,0.403
1,0.406
1,0.406
1,0.407
1,0.409
1,0.414
1,0.414
1,0.418
1,0.418
1,0.419
1,0.42
1,0.422
1,0.423
1,0.424
1,0.424
1,0.429
1,0.431
1,0.432
1,0.441
1,0.443
1,0.444
1,0.447
1,0.451
1,0.466
1,0.472
1,0.473
1,0.473
1,0.473
1,0.475
1,0.476
1,0.478
1,0.478
1,0.48
1,0.48
1,0.482
1,0.485
1,0.485
1,0.487
1,0.487
1,0.49
1,0.492
1,0.492
1,0.498
1,0.498
1,0.504
1,0.506
1,0.507
1,0.508
1,0.508
1,0.509
1,0.511
1,0.512
1,0.515
1,0.52
1,0.523
1,0.529
1,0.53
1,0.532
1,0.547
1,0.556
1,0.566
1,0.572
1,0.575
1,0.577
1,0.592
1,0.63
1,0.634
1,0.638
1,0.646
1,0.663
1,0.678
1,0.698
1,0.779
1,0.892
