"resp","rt"
0,0.392
0,0.436
0,0.455
0,1.089
1,0.288
1,0.29
1,0.293
1,0.296
1,0.297
1,0.299
1,0.299
1,0.299
1,0.299
1,0.3
1,0.3
1,0.301
1,0.301
1,0.302
1,0.303
1,0.304
1,0.305
1,0.305
1,0.305
1,0.305
1,0.307
1,0.309
1,0.31
1,0.311
1,0.313
1,0.313
1,0.313
1,0.314
1,0.314
1,0.314
1,0.316
1,0.317
1,0.317
1,0.318
1,0.318
1,0.318
1,0.318
1,0.319
1,0.319
1,0.32
1,0.321
1,0.322
1,0.322
1,0.322
1,0.323
1,0.325
1,0.325
1,0.326
1,0.326
1,0.326
1,0.326
1,0.326
1,0.327
1,0.327
1,0.327
1,0.327
1,0.328
1,0.329
1,0.329
1,0.329
1,0.329
1,0.33
1,0.331
1,0.331
1,0.332
1,0.333
1,0.333
1,0.334
1,0.335
1,0.335
1,0.335
1,0.336
1,0.336
1,0.338
1,0.338
1,0.338
1,0.338
1,0.339
1,0.34
1,0.34
1,0.342
1,0.343
1,0.343
1,0.344
1,0.345
1,0.348
1,0.349
1,0.349
1,0.35
1,0.351
1,0.351
1,0.352
1,0.353
1,0.353
1,0.354
1,0.354
1,0.355
1,0.357
1,0.357
1,0.357
1,0.357
1,0.357
1,0.357
1,0.358
1,0.36
1,0.361
1,0.361
1,0.362
1,0.363
1,0.363
1,0.363
1,0.364
1,0.366
1,0.366
1,0.367
1,0.367
1,0.369
1,0.369
1,0.369
1,0.369
1,0.37
1,0.37
1,0.37
1,0.373
1,0.373
1,0.373
1,0.375
1,0.377
1,0.378
1,0.381
1,0.382
1,0.385
1,0.386
1,0.386
1,0.387
1,0.388
1,0.388
1,0.39
1,0.39
1,0.391
1,0.392
1,0.393
1,0.394
1,0.397
1,0.398
1,0.4
1,0.4
1,0.4
1,0.401
1,0.401
1,0.402
1,0.402
1,0.405
1,0.406
1,0.407
1,0.411
1,0.411
1,0.414
1,0.416
1,0.418
1,0.423
1,0.424
1,0.425
1,0.426
1,0.427
1,0.428
1,0.429
1,0.432
1,0.436
1,0.44
1,0.442
1,0.445
1,0.446
1,0.447
1,0.452
1,0.455
1,0.463
1,0.467
1,0.467
1,0.47
1,0.47
1,0.471
1,0.481
1,0.49
1,0.492
1,0.496
1,0.496
1,0.497
1,0.511
1,0.519
1,0.639
1,1.006
