"resp","rt"
1,0.244
1,0.281
1,0.284
1,0.287
1,0.287
1,0.288
1,0.288
1,0.289
1,0.29
1,0.29
1,0.294
1,0.295
1,0.297
1,0.298
1,0.298
1,0.298
1,0.298
1,0.3
1,0.301
1,0.301
1,0.305
1,0.308
1,0.308
1,0.31
1,0.312
1,0.315
1,0.316
1,0.316
1,0.318
1,0.319
1,0.32
1,0.322
1,0.323
1,0.324
1,0.325
1,0.325
1,0.325
1,0.326
1,0.326
1,0.329
1,0.329
1,0.33
1,0.33
1,0.335
1,0.335
1,0.336
1,0.336
1,0.336
1,0.339
1,0.343
1,0.345
1,0.346
1,0.346
1,0.346
1,0.346
1,0.347
1,0.347
1,0.348
1,0.349
1,0.352
1,0.353
1,0.356
1,0.357
1,0.357
1,0.359
1,0.36
1,0.362
1,0.362
1,0.363
1,0.364
1,0.368
1,0.369
1,0.369
1,0.37
1,0.371
1,0.372
1,0.372
1,0.373
1,0.374
1,0.374
1,0.375
1,0.375
1,0.376
1,0.376
1,0.378
1,0.38
1,0.38
1,0.382
1,0.382
1,0.383
1,0.383
1,0.383
1,0.384
1,0.384
1,0.385
1,0.385
1,0.386
1,0.387
1,0.387
1,0.388
1,0.389
1,0.393
1,0.393
1,0.393
1,0.394
1,0.394
1,0.394
1,0.395
1,0.395
1,0.395
1,0.396
1,0.396
1,0.399
1,0.399
1,0.4
1,0.401
1,0.401
1,0.401
1,0.402
1,0.403
1,0.404
1,0.408
1,0.408
1,0.409
1,0.411
1,0.411
1,0.411
1,0.412
1,0.413
1,0.414
1,0.414
1,0.415
1,0.415
1,0.417
1,0.418
1,0.418
1,0.418
1,0.421
1,0.422
1,0.427
1,0.427
1,0.428
1,0.43
1,0.431
1,0.434
1,0.434
1,0.435
1,0.438
1,0.439
1,0.44
1,0.441
1,0.443
1,0.443
1,0.447
1,0.447
1,0.448
1,0.45
1,0.45
1,0.455
1,0.457
1,0.458
1,0.459
1,0.461
1,0.462
1,0.463
1,0.468
1,0.47
1,0.471
1,0.471
1,0.472
1,0.473
1,0.475
1,0.478
1,0.479
1,0.482
1,0.49
1,0.491
1,0.492
1,0.493
1,0.493
1,0.495
1,0.498
1,0.5
1,0.5
1,0.507
1,0.508
1,0.524
1,0.537
1,0.548
1,0.556
1,0.577
1,0.579
1,0.599
1,0.608
1,0.619
1,0.64
1,0.649
1,0.657
1,0.658
