"resp","rt"
0,0.38
0,0.457
1,0.318
1,0.321
1,0.331
1,0.333
1,0.333
1,0.335
1,0.338
1,0.339
1,0.343
1,0.345
1,0.346
1,0.347
1,0.348
1,0.349
1,0.35
1,0.351
1,0.352
1,0.353
1,0.353
1,0.353
1,0.357
1,0.357
1,0.358
1,0.358
1,0.359
1,0.36
1,0.36
1,0.361
1,0.363
1,0.363
1,0.364
1,0.365
1,0.365
1,0.366
1,0.368
1,0.369
1,0.37
1,0.371
1,0.371
1,0.372
1,0.372
1,0.372
1,0.372
1,0.373
1,0.375
1,0.376
1,0.376
1,0.378
1,0.378
1,0.38
1,0.381
1,0.382
1,0.384
1,0.384
1,0.387
1,0.387
1,0.387
1,0.388
1,0.388
1,0.388
1,0.389
1,0.389
1,0.391
1,0.391
1,0.392
1,0.392
1,0.393
1,0.393
1,0.393
1,0.393
1,0.394
1,0.396
1,0.397
1,0.398
1,0.399
1,0.399
1,0.4
1,0.4
1,0.401
1,0.401
1,0.401
1,0.401
1,0.403
1,0.405
1,0.406
1,0.408
1,0.409
1,0.41
1,0.412
1,0.413
1,0.414
1,0.414
1,0.415
1,0.415
1,0.417
1,0.417
1,0.417
1,0.417
1,0.418
1,0.418
1,0.42
1,0.421
1,0.421
1,0.425
1,0.425
1,0.426
1,0.426
1,0.426
1,0.426
1,0.426
1,0.427
1,0.428
1,0.428
1,0.43
1,0.434
1,0.435
1,0.437
1,0.438
1,0.438
1,0.441
1,0.442
1,0.442
1,0.443
1,0.444
1,0.444
1,0.445
1,0.446
1,0.448
1,0.449
1,0.45
1,0.45
1,0.452
1,0.452
1,0.453
1,0.453
1,0.453
1,0.454
1,0.454
1,0.458
1,0.459
1,0.463
1,0.463
1,0.466
1,0.466
1,0.466
1,0.467
1,0.469
1,0.47
1,0.472
1,0.473
1,0.474
1,0.475
1,0.48
1,0.48
1,0.48
1,0.484
1,0.485
1,0.485
1,0.487
1,0.488
1,0.488
1,0.489
1,0.49
1,0.492
1,0.494
1,0.495
1,0.495
1,0.495
1,0.496
1,0.498
1,0.503
1,0.508
1,0.51
1,0.51
1,0.512
1,0.515
1,0.52
1,0.521
1,0.523
1,0.524
1,0.526
1,0.526
1,0.537
1,0.539
1,0.54
1,0.546
1,0.546
1,0.548
1,0.56
1,0.561
1,0.562
1,0.565
1,0.568
1,0.574
1,0.575
1,0.587
1,0.614
