"resp","rt"
0,0.364
0,0.448
1,0.275
1,0.276
1,0.277
1,0.277
1,0.29
1,0.291
1,0.293
1,0.296
1,0.301
1,0.304
1,0.305
1,0.307
1,0.308
1,0.31
1,0.313
1,0.315
1,0.315
1,0.317
1,0.318
1,0.319
1,0.32
1,0.321
1,0.323
1,0.325
1,0.326
1,0.326
1,0.327
1,0.327
1,0.327
1,0.327
1,0.328
1,0.328
1,0.329
1,0.329
1,0.33
1,0.33
1,0.331
1,0.331
1,0.333
1,0.333
1,0.333
1,0.334
1,0.335
1,0.336
1,0.337
1,0.339
1,0.343
1,0.344
1,0.345
1,0.345
1,0.346
1,0.346
1,0.348
1,0.349
1,0.349
1,0.351
1,0.354
1,0.354
1,0.354
1,0.356
1,0.358
1,0.359
1,0.359
1,0.36
1,0.36
1,0.36
1,0.361
1,0.362
1,0.362
1,0.363
1,0.363
1,0.363
1,0.363
1,0.363
1,0.364
1,0.364
1,0.364
1,0.364
1,0.364
1,0.364
1,0.365
1,0.365
1,0.365
1,0.366
1,0.366
1,0.367
1,0.368
1,0.37
1,0.37
1,0.37
1,0.37
1,0.373
1,0.375
1,0.375
1,0.376
1,0.376
1,0.377
1,0.379
1,0.38
1,0.38
1,0.382
1,0.386
1,0.387
1,0.388
1,0.388
1,0.389
1,0.39
1,0.391
1,0.392
1,0.393
1,0.393
1,0.394
1,0.395
1,0.396
1,0.396
1,0.397
1,0.397
1,0.4
1,0.404
1,0.406
1,0.406
1,0.406
1,0.406
1,0.407
1,0.407
1,0.407
1,0.407
1,0.409
1,0.411
1,0.411
1,0.411
1,0.412
1,0.413
1,0.414
1,0.415
1,0.418
1,0.418
1,0.419
1,0.419
1,0.42
1,0.421
1,0.421
1,0.422
1,0.422
1,0.423
1,0.424
1,0.426
1,0.426
1,0.429
1,0.429
1,0.429
1,0.429
1,0.43
1,0.434
1,0.436
1,0.438
1,0.44
1,0.442
1,0.444
1,0.445
1,0.446
1,0.447
1,0.448
1,0.451
1,0.452
1,0.455
1,0.455
1,0.457
1,0.458
1,0.46
1,0.461
1,0.462
1,0.464
1,0.465
1,0.467
1,0.468
1,0.469
1,0.469
1,0.474
1,0.479
1,0.48
1,0.492
1,0.493
1,0.497
1,0.499
1,0.499
1,0.504
1,0.505
1,0.507
1,0.509
1,0.512
1,0.517
1,0.525
1,0.546
1,0.556
1,0.561
