"resp","rt"
0,0.364
0,0.376
0,0.397
0,0.418
1,0.281
1,0.288
1,0.296
1,0.306
1,0.306
1,0.308
1,0.317
1,0.318
1,0.319
1,0.319
1,0.32
1,0.323
1,0.325
1,0.326
1,0.326
1,0.328
1,0.33
1,0.332
1,0.333
1,0.336
1,0.339
1,0.339
1,0.34
1,0.34
1,0.343
1,0.343
1,0.344
1,0.345
1,0.346
1,0.346
1,0.348
1,0.349
1,0.349
1,0.35
1,0.35
1,0.35
1,0.353
1,0.353
1,0.353
1,0.354
1,0.354
1,0.355
1,0.356
1,0.356
1,0.356
1,0.356
1,0.357
1,0.357
1,0.358
1,0.358
1,0.36
1,0.361
1,0.362
1,0.362
1,0.362
1,0.362
1,0.362
1,0.363
1,0.364
1,0.365
1,0.365
1,0.366
1,0.367
1,0.367
1,0.368
1,0.368
1,0.368
1,0.369
1,0.369
1,0.369
1,0.37
1,0.37
1,0.37
1,0.371
1,0.372
1,0.373
1,0.373
1,0.374
1,0.375
1,0.376
1,0.376
1,0.377
1,0.378
1,0.379
1,0.379
1,0.379
1,0.38
1,0.38
1,0.381
1,0.382
1,0.382
1,0.383
1,0.383
1,0.383
1,0.383
1,0.383
1,0.384
1,0.384
1,0.386
1,0.386
1,0.388
1,0.388
1,0.39
1,0.392
1,0.392
1,0.392
1,0.393
1,0.394
1,0.394
1,0.396
1,0.396
1,0.396
1,0.397
1,0.4
1,0.4
1,0.4
1,0.401
1,0.402
1,0.402
1,0.402
1,0.402
1,0.404
1,0.405
1,0.405
1,0.405
1,0.406
1,0.409
1,0.41
1,0.412
1,0.413
1,0.413
1,0.414
1,0.414
1,0.415
1,0.415
1,0.417
1,0.418
1,0.419
1,0.42
1,0.42
1,0.42
1,0.421
1,0.422
1,0.423
1,0.423
1,0.426
1,0.426
1,0.426
1,0.427
1,0.427
1,0.428
1,0.429
1,0.431
1,0.434
1,0.434
1,0.434
1,0.434
1,0.435
1,0.436
1,0.437
1,0.439
1,0.445
1,0.446
1,0.447
1,0.455
1,0.458
1,0.459
1,0.463
1,0.463
1,0.469
1,0.47
1,0.472
1,0.479
1,0.48
1,0.481
1,0.485
1,0.487
1,0.488
1,0.49
1,0.49
1,0.493
1,0.494
1,0.495
1,0.5
1,0.502
1,0.505
1,0.512
1,0.527
1,0.533
1,0.536
1,0.541
1,0.542
