"resp","rt"
0,0.288
0,0.407
1,0.289
1,0.299
1,0.304
1,0.321
1,0.323
1,0.323
1,0.324
1,0.324
1,0.325
1,0.328
1,0.33
1,0.332
1,0.337
1,0.338
1,0.338
1,0.338
1,0.339
1,0.339
1,0.34
1,0.343
1,0.343
1,0.344
1,0.348
1,0.348
1,0.349
1,0.35
1,0.35
1,0.35
1,0.35
1,0.352
1,0.353
1,0.356
1,0.356
1,0.357
1,0.358
1,0.359
1,0.359
1,0.361
1,0.362
1,0.363
1,0.363
1,0.364
1,0.365
1,0.366
1,0.366
1,0.366
1,0.366
1,0.367
1,0.367
1,0.367
1,0.367
1,0.368
1,0.368
1,0.369
1,0.37
1,0.37
1,0.37
1,0.371
1,0.372
1,0.373
1,0.375
1,0.375
1,0.376
1,0.378
1,0.378
1,0.378
1,0.378
1,0.379
1,0.379
1,0.38
1,0.38
1,0.38
1,0.381
1,0.383
1,0.383
1,0.384
1,0.385
1,0.385
1,0.387
1,0.388
1,0.389
1,0.389
1,0.39
1,0.391
1,0.392
1,0.392
1,0.393
1,0.393
1,0.394
1,0.395
1,0.395
1,0.396
1,0.397
1,0.398
1,0.398
1,0.399
1,0.399
1,0.399
1,0.399
1,0.4
1,0.401
1,0.402
1,0.403
1,0.403
1,0.403
1,0.403
1,0.404
1,0.405
1,0.405
1,0.406
1,0.406
1,0.407
1,0.408
1,0.408
1,0.408
1,0.409
1,0.409
1,0.411
1,0.412
1,0.412
1,0.413
1,0.414
1,0.415
1,0.417
1,0.417
1,0.418
1,0.418
1,0.419
1,0.419
1,0.421
1,0.421
1,0.425
1,0.425
1,0.425
1,0.425
1,0.426
1,0.427
1,0.428
1,0.428
1,0.429
1,0.43
1,0.43
1,0.434
1,0.435
1,0.435
1,0.438
1,0.439
1,0.441
1,0.443
1,0.444
1,0.444
1,0.445
1,0.446
1,0.446
1,0.448
1,0.449
1,0.45
1,0.451
1,0.453
1,0.454
1,0.456
1,0.458
1,0.458
1,0.46
1,0.463
1,0.464
1,0.467
1,0.473
1,0.474
1,0.475
1,0.477
1,0.477
1,0.478
1,0.479
1,0.48
1,0.481
1,0.487
1,0.487
1,0.488
1,0.49
1,0.491
1,0.494
1,0.495
1,0.498
1,0.502
1,0.503
1,0.509
1,0.514
1,0.515
1,0.515
1,0.519
1,0.519
1,0.522
1,0.541
1,0.549
