"resp","rt"
0,0.4
0,0.403
0,0.503
0,0.529
1,0.303
1,0.323
1,0.328
1,0.332
1,0.339
1,0.341
1,0.341
1,0.344
1,0.35
1,0.354
1,0.354
1,0.355
1,0.355
1,0.357
1,0.359
1,0.361
1,0.363
1,0.363
1,0.364
1,0.365
1,0.367
1,0.377
1,0.378
1,0.378
1,0.379
1,0.38
1,0.38
1,0.381
1,0.383
1,0.384
1,0.385
1,0.386
1,0.386
1,0.386
1,0.387
1,0.388
1,0.388
1,0.39
1,0.391
1,0.393
1,0.394
1,0.395
1,0.396
1,0.396
1,0.397
1,0.399
1,0.399
1,0.4
1,0.401
1,0.403
1,0.403
1,0.404
1,0.404
1,0.405
1,0.406
1,0.407
1,0.409
1,0.41
1,0.411
1,0.413
1,0.415
1,0.416
1,0.418
1,0.419
1,0.419
1,0.42
1,0.421
1,0.422
1,0.422
1,0.422
1,0.424
1,0.424
1,0.426
1,0.427
1,0.428
1,0.429
1,0.432
1,0.432
1,0.432
1,0.433
1,0.433
1,0.436
1,0.438
1,0.438
1,0.439
1,0.44
1,0.442
1,0.442
1,0.443
1,0.445
1,0.445
1,0.445
1,0.446
1,0.447
1,0.448
1,0.449
1,0.45
1,0.45
1,0.451
1,0.451
1,0.453
1,0.455
1,0.457
1,0.457
1,0.459
1,0.46
1,0.462
1,0.462
1,0.463
1,0.464
1,0.465
1,0.468
1,0.471
1,0.472
1,0.472
1,0.476
1,0.48
1,0.48
1,0.483
1,0.484
1,0.484
1,0.484
1,0.486
1,0.487
1,0.487
1,0.488
1,0.488
1,0.489
1,0.49
1,0.49
1,0.494
1,0.495
1,0.496
1,0.496
1,0.498
1,0.498
1,0.499
1,0.499
1,0.501
1,0.503
1,0.504
1,0.505
1,0.507
1,0.507
1,0.508
1,0.511
1,0.511
1,0.513
1,0.515
1,0.515
1,0.518
1,0.518
1,0.519
1,0.521
1,0.523
1,0.523
1,0.525
1,0.525
1,0.532
1,0.533
1,0.533
1,0.533
1,0.535
1,0.535
1,0.536
1,0.539
1,0.543
1,0.544
1,0.545
1,0.548
1,0.553
1,0.553
1,0.553
1,0.555
1,0.565
1,0.567
1,0.568
1,0.569
1,0.574
1,0.574
1,0.574
1,0.575
1,0.58
1,0.582
1,0.582
1,0.591
1,0.599
1,0.6
1,0.601
1,0.603
1,0.604
1,0.61
1,0.619
1,0.681
