"resp","rt"
0,0.428
0,0.488
0,0.716
1,0.285
1,0.302
1,0.324
1,0.325
1,0.331
1,0.334
1,0.336
1,0.336
1,0.341
1,0.343
1,0.343
1,0.346
1,0.347
1,0.349
1,0.355
1,0.356
1,0.356
1,0.357
1,0.361
1,0.361
1,0.362
1,0.362
1,0.362
1,0.363
1,0.365
1,0.366
1,0.373
1,0.374
1,0.378
1,0.38
1,0.383
1,0.383
1,0.384
1,0.385
1,0.386
1,0.388
1,0.391
1,0.391
1,0.392
1,0.392
1,0.394
1,0.397
1,0.399
1,0.4
1,0.403
1,0.404
1,0.404
1,0.404
1,0.406
1,0.407
1,0.407
1,0.41
1,0.413
1,0.414
1,0.415
1,0.415
1,0.415
1,0.419
1,0.419
1,0.421
1,0.423
1,0.424
1,0.425
1,0.426
1,0.427
1,0.427
1,0.428
1,0.429
1,0.429
1,0.429
1,0.431
1,0.432
1,0.433
1,0.434
1,0.436
1,0.441
1,0.442
1,0.444
1,0.445
1,0.454
1,0.455
1,0.459
1,0.46
1,0.461
1,0.463
1,0.464
1,0.466
1,0.467
1,0.467
1,0.47
1,0.47
1,0.472
1,0.474
1,0.474
1,0.479
1,0.479
1,0.481
1,0.482
1,0.483
1,0.483
1,0.484
1,0.485
1,0.487
1,0.489
1,0.49
1,0.491
1,0.492
1,0.497
1,0.497
1,0.498
1,0.499
1,0.499
1,0.5
1,0.501
1,0.502
1,0.503
1,0.504
1,0.504
1,0.504
1,0.504
1,0.505
1,0.507
1,0.509
1,0.513
1,0.516
1,0.517
1,0.52
1,0.522
1,0.523
1,0.53
1,0.534
1,0.536
1,0.536
1,0.539
1,0.539
1,0.542
1,0.542
1,0.55
1,0.554
1,0.556
1,0.557
1,0.559
1,0.563
1,0.564
1,0.571
1,0.572
1,0.573
1,0.578
1,0.58
1,0.582
1,0.583
1,0.59
1,0.59
1,0.59
1,0.592
1,0.596
1,0.6
1,0.6
1,0.606
1,0.609
1,0.612
1,0.623
1,0.623
1,0.625
1,0.627
1,0.628
1,0.645
1,0.647
1,0.655
1,0.661
1,0.662
1,0.664
1,0.669
1,0.673
1,0.681
1,0.686
1,0.699
1,0.709
1,0.71
1,0.712
1,0.717
1,0.73
1,0.733
1,0.743
1,0.784
1,0.796
1,0.803
1,0.816
1,0.819
1,0.9
1,0.917
1,0.958
1,0.972
1,0.976
1,1.118
