"resp","rt"
0,0.422
1,0.303
1,0.331
1,0.335
1,0.339
1,0.356
1,0.375
1,0.378
1,0.383
1,0.384
1,0.388
1,0.389
1,0.391
1,0.393
1,0.395
1,0.399
1,0.403
1,0.404
1,0.405
1,0.406
1,0.407
1,0.409
1,0.41
1,0.414
1,0.414
1,0.418
1,0.421
1,0.421
1,0.422
1,0.423
1,0.423
1,0.425
1,0.425
1,0.425
1,0.426
1,0.428
1,0.429
1,0.432
1,0.433
1,0.433
1,0.434
1,0.435
1,0.44
1,0.44
1,0.44
1,0.443
1,0.443
1,0.443
1,0.446
1,0.446
1,0.448
1,0.448
1,0.451
1,0.455
1,0.456
1,0.456
1,0.456
1,0.457
1,0.458
1,0.458
1,0.459
1,0.46
1,0.461
1,0.461
1,0.461
1,0.463
1,0.464
1,0.466
1,0.466
1,0.467
1,0.467
1,0.468
1,0.468
1,0.469
1,0.47
1,0.471
1,0.472
1,0.472
1,0.473
1,0.475
1,0.475
1,0.475
1,0.477
1,0.478
1,0.479
1,0.48
1,0.481
1,0.481
1,0.482
1,0.483
1,0.484
1,0.484
1,0.485
1,0.486
1,0.486
1,0.486
1,0.489
1,0.491
1,0.493
1,0.493
1,0.493
1,0.494
1,0.495
1,0.495
1,0.496
1,0.496
1,0.497
1,0.498
1,0.498
1,0.5
1,0.505
1,0.507
1,0.508
1,0.51
1,0.51
1,0.511
1,0.515
1,0.516
1,0.516
1,0.516
1,0.517
1,0.518
1,0.518
1,0.519
1,0.519
1,0.525
1,0.526
1,0.527
1,0.529
1,0.53
1,0.53
1,0.53
1,0.537
1,0.541
1,0.546
1,0.546
1,0.548
1,0.551
1,0.554
1,0.555
1,0.558
1,0.561
1,0.562
1,0.563
1,0.565
1,0.568
1,0.571
1,0.572
1,0.572
1,0.573
1,0.576
1,0.577
1,0.578
1,0.578
1,0.578
1,0.58
1,0.583
1,0.586
1,0.586
1,0.592
1,0.594
1,0.596
1,0.599
1,0.599
1,0.599
1,0.6
1,0.601
1,0.601
1,0.603
1,0.605
1,0.608
1,0.609
1,0.611
1,0.621
1,0.627
1,0.631
1,0.631
1,0.636
1,0.641
1,0.645
1,0.647
1,0.65
1,0.651
1,0.657
1,0.662
1,0.669
1,0.672
1,0.677
1,0.687
1,0.687
1,0.693
1,0.7
1,0.711
1,0.716
1,0.718
1,0.727
1,0.733
1,0.753
1,0.758
1,0.767
