"resp","rt"
1,0.358
1,0.411
1,0.414
1,0.423
1,0.433
1,0.436
1,0.445
1,0.45
1,0.452
1,0.456
1,0.458
1,0.46
1,0.465
1,0.474
1,0.477
1,0.479
1,0.489
1,0.493
1,0.495
1,0.501
1,0.504
1,0.506
1,0.507
1,0.508
1,0.511
1,0.512
1,0.513
1,0.516
1,0.519
1,0.521
1,0.521
1,0.523
1,0.525
1,0.53
1,0.532
1,0.532
1,0.534
1,0.536
1,0.538
1,0.539
1,0.542
1,0.542
1,0.545
1,0.549
1,0.551
1,0.553
1,0.554
1,0.557
1,0.559
1,0.561
1,0.561
1,0.562
1,0.58
1,0.581
1,0.582
1,0.589
1,0.591
1,0.592
1,0.593
1,0.598
1,0.599
1,0.599
1,0.599
1,0.611
1,0.613
1,0.617
1,0.627
1,0.629
1,0.635
1,0.647
1,0.649
1,0.654
1,0.657
1,0.657
1,0.661
1,0.661
1,0.663
1,0.665
1,0.665
1,0.669
1,0.671
1,0.676
1,0.686
1,0.687
1,0.688
1,0.688
1,0.691
1,0.694
1,0.694
1,0.702
1,0.703
1,0.708
1,0.718
1,0.72
1,0.724
1,0.728
1,0.738
1,0.74
1,0.741
1,0.744
1,0.747
1,0.752
1,0.756
1,0.756
1,0.756
1,0.757
1,0.76
1,0.762
1,0.767
1,0.77
1,0.772
1,0.783
1,0.785
1,0.785
1,0.787
1,0.789
1,0.791
1,0.795
1,0.798
1,0.808
1,0.811
1,0.815
1,0.823
1,0.823
1,0.824
1,0.825
1,0.834
1,0.837
1,0.84
1,0.846
1,0.849
1,0.85
1,0.851
1,0.855
1,0.863
1,0.865
1,0.866
1,0.868
1,0.868
1,0.872
1,0.878
1,0.879
1,0.882
1,0.883
1,0.884
1,0.886
1,0.887
1,0.887
1,0.888
1,0.888
1,0.889
1,0.89
1,0.891
1,0.895
1,0.902
1,0.904
1,0.907
1,0.909
1,0.909
1,0.913
1,0.914
1,0.915
1,0.918
1,0.919
1,0.927
1,0.928
1,0.933
1,0.934
1,0.938
1,0.941
1,0.951
1,0.952
1,0.956
1,0.958
1,0.96
1,0.975
1,0.979
1,0.987
1,0.999
1,1
1,1.009
1,1.019
1,1.02
1,1.035
1,1.055
1,1.092
1,1.095
1,1.098
1,1.104
1,1.109
1,1.11
1,1.115
1,1.15
1,1.323
1,1.332
1,1.385
