"resp","rt"
0,0.33
0,0.34
0,0.398
0,0.411
0,0.439
0,0.449
0,0.487
0,0.559
0,0.573
0,0.735
0,0.906
1,0.289
1,0.293
1,0.311
1,0.341
1,0.348
1,0.359
1,0.369
1,0.37
1,0.371
1,0.371
1,0.372
1,0.385
1,0.385
1,0.389
1,0.394
1,0.397
1,0.399
1,0.401
1,0.405
1,0.406
1,0.407
1,0.409
1,0.41
1,0.413
1,0.413
1,0.413
1,0.415
1,0.417
1,0.418
1,0.419
1,0.419
1,0.421
1,0.421
1,0.422
1,0.423
1,0.425
1,0.425
1,0.425
1,0.428
1,0.431
1,0.433
1,0.438
1,0.439
1,0.441
1,0.442
1,0.443
1,0.444
1,0.445
1,0.447
1,0.448
1,0.448
1,0.45
1,0.452
1,0.452
1,0.454
1,0.454
1,0.455
1,0.456
1,0.456
1,0.457
1,0.458
1,0.459
1,0.461
1,0.464
1,0.464
1,0.465
1,0.465
1,0.467
1,0.467
1,0.468
1,0.472
1,0.474
1,0.474
1,0.475
1,0.476
1,0.478
1,0.479
1,0.48
1,0.481
1,0.482
1,0.485
1,0.485
1,0.486
1,0.49
1,0.491
1,0.492
1,0.493
1,0.495
1,0.496
1,0.501
1,0.503
1,0.506
1,0.507
1,0.507
1,0.508
1,0.509
1,0.509
1,0.511
1,0.511
1,0.512
1,0.514
1,0.514
1,0.515
1,0.515
1,0.519
1,0.521
1,0.522
1,0.526
1,0.532
1,0.534
1,0.537
1,0.543
1,0.545
1,0.545
1,0.546
1,0.547
1,0.549
1,0.552
1,0.553
1,0.556
1,0.556
1,0.559
1,0.561
1,0.562
1,0.562
1,0.566
1,0.568
1,0.57
1,0.57
1,0.57
1,0.57
1,0.571
1,0.574
1,0.575
1,0.577
1,0.578
1,0.583
1,0.585
1,0.585
1,0.586
1,0.586
1,0.587
1,0.588
1,0.592
1,0.597
1,0.598
1,0.599
1,0.603
1,0.603
1,0.606
1,0.607
1,0.613
1,0.622
1,0.624
1,0.625
1,0.626
1,0.626
1,0.627
1,0.629
1,0.631
1,0.633
1,0.635
1,0.651
1,0.655
1,0.675
1,0.676
1,0.679
1,0.684
1,0.69
1,0.706
1,0.712
1,0.723
1,0.733
1,0.744
1,0.746
1,0.758
1,0.772
1,0.776
1,0.79
1,0.791
1,0.826
1,0.831
1,0.842
1,0.858
1,0.879
1,0.884
1,0.889
1,0.955
