"resp","rt"
0,0.384
0,0.425
0,0.454
0,0.482
0,0.576
1,0.31
1,0.33
1,0.333
1,0.333
1,0.333
1,0.34
1,0.341
1,0.341
1,0.341
1,0.342
1,0.342
1,0.345
1,0.347
1,0.347
1,0.347
1,0.348
1,0.348
1,0.349
1,0.351
1,0.352
1,0.353
1,0.356
1,0.359
1,0.36
1,0.361
1,0.361
1,0.362
1,0.363
1,0.363
1,0.365
1,0.366
1,0.366
1,0.367
1,0.368
1,0.37
1,0.373
1,0.373
1,0.376
1,0.377
1,0.378
1,0.38
1,0.382
1,0.386
1,0.387
1,0.387
1,0.388
1,0.388
1,0.389
1,0.393
1,0.393
1,0.394
1,0.394
1,0.394
1,0.396
1,0.397
1,0.4
1,0.4
1,0.402
1,0.403
1,0.403
1,0.406
1,0.409
1,0.41
1,0.411
1,0.412
1,0.412
1,0.412
1,0.413
1,0.414
1,0.417
1,0.418
1,0.419
1,0.419
1,0.42
1,0.422
1,0.425
1,0.426
1,0.428
1,0.428
1,0.429
1,0.431
1,0.431
1,0.431
1,0.432
1,0.433
1,0.433
1,0.433
1,0.434
1,0.439
1,0.44
1,0.442
1,0.443
1,0.443
1,0.443
1,0.444
1,0.445
1,0.445
1,0.445
1,0.447
1,0.447
1,0.454
1,0.461
1,0.462
1,0.463
1,0.463
1,0.463
1,0.463
1,0.465
1,0.466
1,0.47
1,0.47
1,0.472
1,0.473
1,0.473
1,0.473
1,0.474
1,0.476
1,0.476
1,0.476
1,0.479
1,0.481
1,0.482
1,0.484
1,0.485
1,0.485
1,0.485
1,0.486
1,0.486
1,0.486
1,0.487
1,0.488
1,0.491
1,0.491
1,0.492
1,0.493
1,0.499
1,0.499
1,0.501
1,0.501
1,0.505
1,0.507
1,0.508
1,0.51
1,0.511
1,0.513
1,0.513
1,0.514
1,0.517
1,0.518
1,0.526
1,0.527
1,0.528
1,0.53
1,0.531
1,0.531
1,0.534
1,0.534
1,0.534
1,0.535
1,0.543
1,0.548
1,0.552
1,0.552
1,0.556
1,0.559
1,0.559
1,0.561
1,0.563
1,0.574
1,0.575
1,0.576
1,0.58
1,0.587
1,0.588
1,0.591
1,0.594
1,0.599
1,0.6
1,0.601
1,0.603
1,0.62
1,0.621
1,0.628
1,0.643
1,0.647
1,0.65
1,0.657
1,0.666
1,0.674
1,0.685
1,0.711
1,0.72
1,0.73
