Subject;SRT_RT_S1;CRT2_RT_S1;CRT4_RT_S1;S1_RT_S1;S3_RT_S1;S5_RT_S1;PI_RT_S1;NI_RT_S1;SRT_RT_S2;CRT2_RT_S2;CRT4_RT_S2;S1_RT_S2;S3_RT_S2;S5_RT_S2;PI_RT_S2;NI_RT_S2;PC;PS;M;C;APMeven;APModd
32;-.931881515606633;.497384783448809;.505943680290846;-.402845583393636;-.429967481000375;-.221625948372405;-.822619480003823;-1.02165930253063;-.560006648421323;.424576999709819;.471493577211073;.184617495773917;-.19327419567856;-.543990904944417;-.731902674513215;-.623177399956058;-.1470647232549;.778158089576688;-.213294860327258;-.342513728480347;-.348666127528123;.51088874633247
34;-.0823327092011727;-.177109493061585;.162070200496069;1.05800834395039;2.05132928475425;2.24545203199238;1.27960267721445;.88923141895923;-.930300573619313;-.938185578278162;.00756537808823898;.587579203414468;1.43687215708277;1.87110641805252;.637170672890374;1.14796322096656;.350096673747323;.406744321045994;.240379669438719;.450422786163948;.789835513380032;.51088874633247
35;.915158625371869;.598710562229175;.062847774310862;-.453014088537446;-.23441664601206;-.568858243933212;-.0642373063292006;-.914187809607244;.726571361155139;.897544758813822;.293524492214854;.767314802596498;.0679714712021032;-.339397141062428;.344319002709675;-.760511271322239;-.555865622367831;-.458123843209546;.333799026890498;.951935192645429;.505210103152993;.227061665036653
36;-.0213189346328441;1.03431833938555;1.14786391234773;-.235115492725731;.519601498046783;.712896509376227;-.474151707257243;-.355299739081583;1.32065434458826;1.09480236973159;.644086799718846;-.443302022777176;-.455557344655087;-.43020223622839;-.292499970802342;-.339853923711254;.162243191055461;-.519951787165678;-.715760947197527;-.287713732915789;-.0640407173010846;-.0567654162591637
37;.661932636730463;.858516946903926;1.28775795661032;.56656574285702;-.0529410729758474;.315349849809306;.194832118062394;1.03216097161907;.546083722472772;.894461267283318;1.30709305551152;1.13414791532537;.81653485211484;1.18034514369257;-.086271518934014;.52158042691338;.342625405165805;.234037626166194;-.153354851424055;.375503541985091;.220584692925954;1.36236999021992
38;-.55743823484685;-1.48500228414871;-.300511463999476;-1.53666354349127;-1.27172519545993;-.0134521766806745;.320882477122883;.262109583978913;-.0142080363935282;-.829785740231481;.862409336428718;-1.66941117765623;-2.26967860725804;-1.28894910156927;-1.13281323950007;.268861346815084;-.646997094104482;-.855939625538122;-.0726975121047915;.0401781754888565;-1.20254235820924;-1.19207374144243
40;.373383142800517;.3601290128058;.0152398170875166;.616126172008279;.698290726753314;.853660278671717;-.102032191277994;.328844488251959;.698088429353568;.825530193093288;.730374386579995;1.09554374507369;1.1587957738815;1.37685170092298;.629550663686673;.740816920685422;.151943940912715;-.0985099320828652;.511900377209651;.0306370449644583;.505210103152993;.51088874633247
41;.346125024960151;.66024925597552;-.695108738021601;.00795209016639984;-.270503210313291;.110439138350994;-1.51089580489755;-1.53634823069878;.154858962469092;.0527700044845325;-.243934205585935;-1.32223027999849;-.606246546387636;-.0432750096377295;-.682046252351532;-.680381880300002;-.120936197887827;-.0768014985382553;-.760648661091512;-.141402571369753;-.917916947982201;-1.75972790403407
42;1.16098971703192;1.07106557134664;1.55240027967748;.701181766346834;.420693834387065;.745656023168749;1.02335180850008;.663320419384079;.932311243379329;1.31478309439006;1.5606941292316;1.15703611973493;1.38360151940222;1.33962333109318;1.52211431199467;1.42220936542536;8.91614488297512E-005;-.0572066901692046;-.187462199054268;-.543405829534444;.220584692925954;.227061665036653
43;-.410944406980259;-.0761449409285123;-.245140993809378;-.816700424719973;-1.35172425435118;-.807781837821818;-.915647547284711;-.988545202378963;.175834294704223;-.342975689074574;-.340485949323702;-.320201827630391;-.710661382967398;-.367616435979132;-.340110970064295;-.357057971838125;.466790168153098;.341750898065646;-.300224252661811;.140794563825023;.505210103152993;.51088874633247
45;.621724472459566;.788269136626414;.526543927112792;1.53986608128143;1.25029560408459;1.49946656793788;.886464297374772;1.32611515414832;.380684850299555;.586691427941385;.803147235183932;.622549974434498;1.04828499035725;1.16369916074303;.83244226210665;1.31104118910768;.619509560304322;.687762023405398;-.0272849738402197;-.0419312326947541;.505210103152993;.51088874633247
46;1.04339770666308;.392792774809738;.171192969548277;.549204092196321;-.342857890782055;-1.13822737772808;.202568703145566;-.714567174587949;1.01239926580963;.700061084227158;.207061915953289;.718392736510648;-.312977027121284;-.748986936236772;-.800135944073362;-.403913908581871;-.317026586720752;-.145753526620587;.142810750419971;.865947624383639;-.348666127528123;-.624419578850798
48;.656462681218737;.362656672639796;.612819336561663;.0480828782991101;.455402943329684;.972783933619488;.230221857363742;.25061901847903;-.0756625049185094;.137515555144656;.462509863281353;.344657990886982;.403737110190913;.490016998339612;.199224914201382;-.184099603979223;.8408101688061;-.553933147920933;-.548864128341358;-.387590617823172;1.07446092360707;1.64619707151574
49;-.385719067479293;-.227459168024157;-.255749355083599;-.279471579563117;.217197643895121;-.217785873898984;.0113545290739776;.158127427208831;.125160478919668;-.223017893723174;-.262459122353022;-.343824301546088;-.0306305427394634;-.111765276322829;.233822504730281;.346417515165086;.512646941357979;.603593783398433;.173312612012629;.610615090433552;.505210103152993;-.0567654162591637
50;-.0228390942101718;.838527873363487;.422465626951778;.284618578071047;-.102065510009147;-.464069448190302;-.233605018530529;-.366072497472646;1.25762717864844;1.04957028995937;.793692865405888;.945443078964706;.741000338379285;.43003540094019;.350743587431515;-.199334439869766;-1.32087140775321;-.506697406460323;-1.02765729025389;-.252001824133583;-1.20254235820924;-.908246660146614
51;1.42517746667486;1.12627532174096;.754777403592986;1.98730762341643;1.09379064439673;1.6709051632326;1.27342169334324;.800550795120059;1.41060958862288;1.50309470751037;1.6414412835382;2.04509427997425;1.19680099723696;1.36922784837256;1.99574394711891;1.37540934086132;1.05357637829036;.987248244669943;.859608314704649;.394198220452555;1.35908633383411;1.0785429089241
52;-1.20155216053068;-.693141797738546;-.763595122979664;.945374262975334;.423103220360863;-.16746447636919;.169491407529913;-.416327120421918;-.254634272052247;-.736595320051228;-.52198861182051;.61927428121719;.422235559743554;.0735861578150973;.0925997078106726;.0398934365259594;-.649217835572978;-.289584287339911;.300279952420814;-.890036771830034;-.917916947982201;-1.19207374144243
