"resp","rt"
1,0.219
1,0.239
1,0.248
1,0.262
1,0.269
1,0.274
1,0.275
1,0.276
1,0.277
1,0.277
1,0.28
1,0.282
1,0.282
1,0.29
1,0.291
1,0.292
1,0.295
1,0.296
1,0.298
1,0.298
1,0.299
1,0.299
1,0.3
1,0.3
1,0.3
1,0.3
1,0.3
1,0.301
1,0.303
1,0.307
1,0.307
1,0.308
1,0.308
1,0.308
1,0.309
1,0.309
1,0.309
1,0.309
1,0.311
1,0.312
1,0.312
1,0.313
1,0.314
1,0.314
1,0.315
1,0.315
1,0.319
1,0.319
1,0.32
1,0.32
1,0.321
1,0.321
1,0.321
1,0.322
1,0.322
1,0.322
1,0.322
1,0.323
1,0.324
1,0.325
1,0.325
1,0.325
1,0.325
1,0.326
1,0.326
1,0.327
1,0.328
1,0.328
1,0.328
1,0.328
1,0.328
1,0.328
1,0.329
1,0.333
1,0.333
1,0.334
1,0.335
1,0.335
1,0.335
1,0.336
1,0.336
1,0.336
1,0.337
1,0.338
1,0.338
1,0.338
1,0.339
1,0.34
1,0.34
1,0.34
1,0.341
1,0.341
1,0.342
1,0.342
1,0.343
1,0.343
1,0.345
1,0.345
1,0.345
1,0.346
1,0.347
1,0.347
1,0.347
1,0.348
1,0.349
1,0.349
1,0.35
1,0.35
1,0.35
1,0.35
1,0.351
1,0.351
1,0.352
1,0.352
1,0.353
1,0.354
1,0.355
1,0.358
1,0.358
1,0.358
1,0.359
1,0.359
1,0.36
1,0.36
1,0.361
1,0.363
1,0.364
1,0.364
1,0.365
1,0.367
1,0.368
1,0.368
1,0.368
1,0.37
1,0.37
1,0.371
1,0.373
1,0.373
1,0.374
1,0.375
1,0.375
1,0.375
1,0.376
1,0.377
1,0.377
1,0.378
1,0.378
1,0.378
1,0.379
1,0.38
1,0.381
1,0.382
1,0.384
1,0.386
1,0.39
1,0.391
1,0.391
1,0.391
1,0.391
1,0.392
1,0.392
1,0.396
1,0.396
1,0.397
1,0.397
1,0.4
1,0.401
1,0.402
1,0.402
1,0.405
1,0.409
1,0.412
1,0.412
1,0.412
1,0.413
1,0.414
1,0.415
1,0.415
1,0.416
1,0.422
1,0.43
1,0.431
1,0.432
1,0.434
1,0.445
1,0.45
1,0.453
1,0.457
1,0.46
1,0.476
1,0.48
1,0.484
1,0.492
1,0.506
1,0.533
1,0.537
1,0.544
