"resp","rt"
0,0.331
1,0.286
1,0.296
1,0.308
1,0.31
1,0.313
1,0.319
1,0.325
1,0.326
1,0.331
1,0.333
1,0.335
1,0.338
1,0.338
1,0.339
1,0.339
1,0.341
1,0.343
1,0.346
1,0.346
1,0.346
1,0.35
1,0.352
1,0.352
1,0.353
1,0.354
1,0.355
1,0.355
1,0.356
1,0.356
1,0.358
1,0.36
1,0.36
1,0.36
1,0.361
1,0.361
1,0.362
1,0.363
1,0.363
1,0.364
1,0.364
1,0.365
1,0.365
1,0.368
1,0.376
1,0.376
1,0.376
1,0.376
1,0.377
1,0.377
1,0.377
1,0.379
1,0.379
1,0.379
1,0.379
1,0.38
1,0.381
1,0.382
1,0.383
1,0.383
1,0.384
1,0.386
1,0.389
1,0.39
1,0.39
1,0.39
1,0.391
1,0.394
1,0.395
1,0.395
1,0.395
1,0.396
1,0.397
1,0.397
1,0.398
1,0.398
1,0.399
1,0.399
1,0.4
1,0.401
1,0.403
1,0.405
1,0.405
1,0.407
1,0.408
1,0.408
1,0.409
1,0.411
1,0.414
1,0.416
1,0.416
1,0.418
1,0.419
1,0.419
1,0.42
1,0.42
1,0.421
1,0.421
1,0.423
1,0.424
1,0.424
1,0.425
1,0.426
1,0.427
1,0.427
1,0.43
1,0.43
1,0.435
1,0.436
1,0.437
1,0.437
1,0.437
1,0.438
1,0.44
1,0.441
1,0.443
1,0.444
1,0.444
1,0.444
1,0.451
1,0.451
1,0.452
1,0.453
1,0.454
1,0.456
1,0.457
1,0.458
1,0.459
1,0.462
1,0.462
1,0.463
1,0.463
1,0.464
1,0.465
1,0.465
1,0.466
1,0.469
1,0.47
1,0.47
1,0.472
1,0.473
1,0.475
1,0.476
1,0.479
1,0.482
1,0.484
1,0.484
1,0.486
1,0.491
1,0.491
1,0.492
1,0.495
1,0.496
1,0.498
1,0.503
1,0.507
1,0.509
1,0.515
1,0.517
1,0.518
1,0.519
1,0.52
1,0.52
1,0.527
1,0.53
1,0.53
1,0.531
1,0.533
1,0.533
1,0.538
1,0.54
1,0.54
1,0.541
1,0.542
1,0.545
1,0.546
1,0.549
1,0.549
1,0.552
1,0.57
1,0.574
1,0.579
1,0.579
1,0.585
1,0.586
1,0.587
1,0.589
1,0.597
1,0.599
1,0.6
1,0.614
1,0.626
1,0.629
1,0.654
1,0.66
1,0.724
1,0.728
