"resp","rt"
0,0.308
1,0.194
1,0.213
1,0.216
1,0.226
1,0.237
1,0.238
1,0.242
1,0.243
1,0.244
1,0.245
1,0.246
1,0.246
1,0.25
1,0.251
1,0.252
1,0.252
1,0.254
1,0.254
1,0.255
1,0.256
1,0.258
1,0.259
1,0.259
1,0.263
1,0.265
1,0.267
1,0.267
1,0.268
1,0.269
1,0.269
1,0.269
1,0.271
1,0.272
1,0.272
1,0.273
1,0.274
1,0.274
1,0.277
1,0.277
1,0.277
1,0.277
1,0.278
1,0.278
1,0.278
1,0.278
1,0.279
1,0.28
1,0.281
1,0.281
1,0.281
1,0.281
1,0.281
1,0.283
1,0.283
1,0.284
1,0.284
1,0.284
1,0.285
1,0.285
1,0.286
1,0.286
1,0.287
1,0.287
1,0.288
1,0.288
1,0.288
1,0.288
1,0.288
1,0.29
1,0.29
1,0.292
1,0.292
1,0.293
1,0.294
1,0.294
1,0.294
1,0.295
1,0.296
1,0.296
1,0.297
1,0.298
1,0.299
1,0.299
1,0.299
1,0.299
1,0.3
1,0.301
1,0.303
1,0.305
1,0.305
1,0.305
1,0.305
1,0.305
1,0.305
1,0.306
1,0.307
1,0.308
1,0.308
1,0.309
1,0.31
1,0.311
1,0.312
1,0.312
1,0.313
1,0.313
1,0.314
1,0.315
1,0.316
1,0.317
1,0.318
1,0.318
1,0.319
1,0.319
1,0.322
1,0.324
1,0.324
1,0.324
1,0.324
1,0.325
1,0.325
1,0.327
1,0.329
1,0.33
1,0.33
1,0.33
1,0.332
1,0.333
1,0.336
1,0.336
1,0.337
1,0.337
1,0.339
1,0.339
1,0.339
1,0.339
1,0.339
1,0.339
1,0.34
1,0.34
1,0.341
1,0.342
1,0.345
1,0.345
1,0.346
1,0.348
1,0.349
1,0.35
1,0.351
1,0.352
1,0.352
1,0.355
1,0.355
1,0.355
1,0.359
1,0.36
1,0.364
1,0.367
1,0.369
1,0.37
1,0.371
1,0.371
1,0.371
1,0.373
1,0.373
1,0.374
1,0.374
1,0.375
1,0.375
1,0.377
1,0.379
1,0.38
1,0.38
1,0.381
1,0.382
1,0.387
1,0.389
1,0.39
1,0.395
1,0.397
1,0.398
1,0.399
1,0.401
1,0.405
1,0.405
1,0.406
1,0.412
1,0.415
1,0.416
1,0.418
1,0.42
1,0.42
1,0.423
1,0.43
1,0.437
1,0.438
1,0.44
1,0.463
1,0.464
