"resp","rt"
1,0.243
1,0.269
1,0.275
1,0.277
1,0.284
1,0.288
1,0.29
1,0.29
1,0.294
1,0.297
1,0.304
1,0.304
1,0.306
1,0.307
1,0.307
1,0.309
1,0.31
1,0.311
1,0.311
1,0.311
1,0.314
1,0.314
1,0.315
1,0.315
1,0.315
1,0.316
1,0.319
1,0.319
1,0.322
1,0.324
1,0.326
1,0.328
1,0.328
1,0.33
1,0.33
1,0.33
1,0.331
1,0.331
1,0.332
1,0.332
1,0.333
1,0.333
1,0.336
1,0.336
1,0.339
1,0.339
1,0.34
1,0.34
1,0.341
1,0.343
1,0.345
1,0.346
1,0.346
1,0.346
1,0.348
1,0.348
1,0.349
1,0.35
1,0.351
1,0.352
1,0.352
1,0.354
1,0.354
1,0.354
1,0.355
1,0.355
1,0.355
1,0.356
1,0.356
1,0.356
1,0.357
1,0.357
1,0.358
1,0.359
1,0.361
1,0.364
1,0.364
1,0.364
1,0.365
1,0.37
1,0.371
1,0.371
1,0.373
1,0.373
1,0.375
1,0.376
1,0.378
1,0.378
1,0.379
1,0.379
1,0.38
1,0.38
1,0.38
1,0.382
1,0.383
1,0.384
1,0.384
1,0.386
1,0.387
1,0.387
1,0.388
1,0.389
1,0.39
1,0.392
1,0.392
1,0.392
1,0.393
1,0.395
1,0.395
1,0.395
1,0.396
1,0.399
1,0.4
1,0.401
1,0.401
1,0.402
1,0.402
1,0.403
1,0.404
1,0.404
1,0.405
1,0.406
1,0.408
1,0.409
1,0.409
1,0.409
1,0.413
1,0.414
1,0.415
1,0.417
1,0.418
1,0.418
1,0.418
1,0.42
1,0.423
1,0.423
1,0.423
1,0.425
1,0.426
1,0.428
1,0.429
1,0.429
1,0.434
1,0.436
1,0.436
1,0.437
1,0.437
1,0.438
1,0.438
1,0.438
1,0.438
1,0.439
1,0.44
1,0.441
1,0.444
1,0.444
1,0.446
1,0.446
1,0.449
1,0.45
1,0.453
1,0.459
1,0.465
1,0.468
1,0.477
1,0.477
1,0.479
1,0.479
1,0.483
1,0.485
1,0.488
1,0.491
1,0.5
1,0.504
1,0.511
1,0.512
1,0.516
1,0.518
1,0.521
1,0.523
1,0.523
1,0.526
1,0.53
1,0.535
1,0.537
1,0.538
1,0.538
1,0.539
1,0.547
1,0.557
1,0.557
1,0.565
1,0.568
1,0.577
1,0.585
1,0.603
1,0.615
1,0.618
