"resp","rt"
0,0.401
0,0.549
0,0.629
0,0.927
1,0.258
1,0.271
1,0.28
1,0.285
1,0.312
1,0.315
1,0.316
1,0.318
1,0.319
1,0.32
1,0.322
1,0.323
1,0.324
1,0.324
1,0.325
1,0.327
1,0.328
1,0.328
1,0.329
1,0.329
1,0.329
1,0.33
1,0.33
1,0.33
1,0.334
1,0.334
1,0.334
1,0.335
1,0.338
1,0.34
1,0.341
1,0.344
1,0.345
1,0.346
1,0.347
1,0.347
1,0.349
1,0.349
1,0.349
1,0.349
1,0.349
1,0.35
1,0.351
1,0.352
1,0.354
1,0.356
1,0.357
1,0.358
1,0.358
1,0.358
1,0.358
1,0.359
1,0.359
1,0.36
1,0.362
1,0.364
1,0.366
1,0.367
1,0.367
1,0.367
1,0.368
1,0.369
1,0.37
1,0.371
1,0.372
1,0.372
1,0.375
1,0.376
1,0.376
1,0.378
1,0.378
1,0.38
1,0.382
1,0.383
1,0.384
1,0.385
1,0.385
1,0.387
1,0.388
1,0.388
1,0.39
1,0.39
1,0.391
1,0.394
1,0.396
1,0.396
1,0.397
1,0.399
1,0.4
1,0.4
1,0.403
1,0.403
1,0.404
1,0.405
1,0.406
1,0.406
1,0.406
1,0.407
1,0.407
1,0.408
1,0.411
1,0.414
1,0.419
1,0.419
1,0.421
1,0.421
1,0.421
1,0.423
1,0.423
1,0.424
1,0.426
1,0.427
1,0.429
1,0.43
1,0.43
1,0.431
1,0.431
1,0.433
1,0.433
1,0.434
1,0.435
1,0.438
1,0.441
1,0.441
1,0.443
1,0.448
1,0.448
1,0.449
1,0.45
1,0.45
1,0.45
1,0.453
1,0.453
1,0.455
1,0.46
1,0.46
1,0.464
1,0.465
1,0.465
1,0.465
1,0.472
1,0.478
1,0.481
1,0.486
1,0.488
1,0.491
1,0.499
1,0.5
1,0.505
1,0.516
1,0.522
1,0.523
1,0.53
1,0.536
1,0.542
1,0.547
1,0.555
1,0.557
1,0.558
1,0.566
1,0.573
1,0.574
1,0.59
1,0.612
1,0.616
1,0.623
1,0.634
1,0.639
1,0.64
1,0.655
1,0.658
1,0.688
1,0.689
1,0.695
1,0.724
1,0.733
1,0.734
1,0.764
1,0.809
1,0.814
1,0.825
1,0.826
1,0.844
1,0.864
1,0.882
1,0.943
1,1.13
1,1.328
1,1.344
1,1.359
1,1.359
